tx_sign,base_call,in_wsprnet,in_wsprdaemon,source_class,quality_tier,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,n_days_active,n_spots_wsprnet
F4NEM,F4NEM,True,True,both,A,JN19,4.0,49.5,3.0,N,49.5,44.652,44.652,10,4634
F4NFR,F4NFR,True,True,both,B,JO00tn,6.0,50.5625,1.625,N,50.5625,45.984,45.984,3,1982
F4PNC,F4PNC,True,False,wsprnet_only,B,JF97,4.0,-32.5,19.0,S,32.5,-40.935,40.935,3,10
F4TXR,F4TXR,True,True,both,B,JN33ps,6.0,43.7708,7.2917,N,43.7708,37.455,37.455,15,28862
F4UIT,F4UIT,True,True,both,B,IN88hn,6.0,48.5625,-3.375,N,48.5625,43.526,43.526,4,378
F4UIU,F4UIU,True,True,both,A,JO10jm,6.0,50.5208,2.7917,N,50.5208,45.923,45.923,46,139532
F4VQB,F4VQB,True,True,both,A,JN06sh,6.0,46.3125,1.5417,N,46.3125,40.578,40.578,17,21340
F4VTR,F4VTR,True,True,both,A,JN25pu,6.0,45.8542,5.2917,N,45.8542,40.066,40.066,16,18006
F4WDO,F4WDO,True,True,both,B,JN08ca,6.0,48.0208,0.2083,N,48.0208,42.782,42.782,5,4716
F4WDP,F4WDP,True,True,both,A,JO10,4.0,50.5,3.0,N,50.5,45.896,45.896,147,308650
F4WFT,F4WFT,True,True,both,A,IN98,4.0,48.5,-1.0,N,48.5,43.406,43.406,48,495733
F4WFX,F4WFX,True,True,both,B,JN18lu,6.0,48.8542,2.9583,N,48.8542,43.842,43.842,39,106420
F54SFT,F54SFT,True,False,wsprnet_only,A,HQ69,4.0,79.5,-27.0,N,79.5,80.442,80.442,16,56
F54YCA,F54YCA,True,True,both,A,MR94,4.0,84.5,79.0,N,84.5,79.942,79.942,88,210
F5BCB,F5BCB,True,True,both,B,IN97gg,6.0,47.2708,-1.4583,N,47.2708,41.819,41.819,4,10870
F5BUD,F5BUD,True,True,both,B,JN13wq,6.0,43.6875,3.875,N,43.6875,37.186,37.186,4,385
F5CBD,F5CBD,True,True,both,A,IO95,4.0,55.5,-1.0,N,55.5,52.072,52.072,14,23
F5DCQ,F5DCQ,True,True,both,A,JN04vs,6.0,44.7708,1.7917,N,44.7708,38.557,38.557,24,142413
F5DJL,F5DJL,True,True,both,B,JN36cd,6.0,46.1458,6.2083,N,46.1458,40.467,40.467,3,931
F5GKW,F5GKW,True,True,both,B,JN05lu,6.0,45.8542,0.9583,N,45.8542,39.971,39.971,26,194388
F5GNM,F5GNM,True,True,both,B,JN18cs,6.0,48.7708,2.2083,N,48.7708,43.735,43.735,3,342
