rx_sign,site_call,in_wsprnet,in_wsprdaemon,source_class,sw_class,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,quality_tier,n_days_active,n_spots_wsprnet,n_spots_wd,noise_valid_frac
ON7OP,ON7OP,True,False,wsprnet_only,wsjtx,JO20fj,6.0,50.3958,4.4583,N,50.3958,45.764,45.764,B,71,72728.0,,
ON7TC,ON7TC,True,False,wsprnet_only,wsjtx,JO11rd,6.0,51.1458,3.4583,N,51.1458,46.689,46.689,C,7,203.0,,
ON7UDM,ON7UDM,True,False,wsprnet_only,wsjtx,JO21bc,6.0,51.1042,4.125,N,51.1042,46.634,46.634,D,1,36.0,,
ON7USB,ON7USB,True,False,wsprnet_only,wsjtx,JO10ou,6.0,50.8542,3.2083,N,50.8542,46.332,46.332,D,2,45.0,,
ON7VQ,ON7VQ,True,False,wsprnet_only,wsjtx,JO20gv,6.0,50.8958,4.5417,N,50.8958,46.378,46.378,D,3,3240.0,,
ON7WE,ON7WE,True,False,wsprnet_only,wsjtx,JO20,4.0,50.5,5.0,N,50.5,45.893,45.893,D,1,39.0,,
ON7XF,ON7XF,True,False,wsprnet_only,wsjtx,JO10vt,6.0,50.8125,3.7917,N,50.8125,46.278,46.278,D,5,906.0,,
ON7XN,ON7XN,True,False,wsprnet_only,wsjtx,JO11pe,6.0,51.1875,3.2917,N,51.1875,46.741,46.741,D,4,1673.0,,
ON7XT,ON7XT,True,False,wsprnet_only,wsjtx,JO10,4.0,50.5,3.0,N,50.5,45.896,45.896,D,1,49.0,,
ON7XX,ON7XX,True,False,wsprnet_only,other,JO10ku,6.0,50.8542,2.875,N,50.8542,46.334,46.334,C,22,4041.0,,
ON7ZJ,ON7ZJ,True,False,wsprnet_only,other,JO21ca,6.0,51.0208,4.2083,N,51.0208,46.532,46.532,D,1,35.0,,
ON7ZO,ON7ZO,True,False,wsprnet_only,wsjtx,JO20ei,6.0,50.3542,4.375,N,50.3542,45.713,45.713,D,5,17.0,,
ON8DO,ON8DO,True,False,wsprnet_only,wsjtx,JN29un,6.0,49.5625,5.7083,N,49.5625,44.742,44.742,D,1,77.0,,
ON8EC,ON8EC,True,False,wsprnet_only,kiwisdr,JO20gw,6.0,50.9375,4.5417,N,50.9375,46.429,46.429,A,280,1164074.0,,
ON8FAB,ON8FAB,True,False,wsprnet_only,wsjtx,JN29sn,6.0,49.5625,5.5417,N,49.5625,44.741,44.741,D,2,56.0,,
ON8GDV,ON8GDV,True,False,wsprnet_only,wsjtx,JO20dr,6.0,50.7292,4.2917,N,50.7292,46.174,46.174,D,3,1401.0,,
ON8MJ,ON8MJ,True,False,wsprnet_only,wsjtx,JO20kr,6.0,50.7292,4.875,N,50.7292,46.174,46.174,D,1,42.0,,
ON8SV,ON8SV,True,False,wsprnet_only,wsjtx,JO20,4.0,50.5,5.0,N,50.5,45.893,45.893,C,10,1565.0,,
ON8WI,ON8WI,True,False,wsprnet_only,wsjtx,JO20lx,6.0,50.9792,4.9583,N,50.9792,46.479,46.479,D,4,62.0,,
ON9940,ON9940,True,False,wsprnet_only,kiwisdr,JO11ud,6.0,51.1458,3.7083,N,51.1458,46.687,46.687,D,1,1198.0,,
ON9BC/P,ON9BC,True,False,wsprnet_only,wsjtx,JO20,4.0,50.5,5.0,N,50.5,45.893,45.893,D,1,95.0,,
ON9DC,ON9DC,True,False,wsprnet_only,wsjtx,JO20sc,6.0,50.1042,5.5417,N,50.1042,45.408,45.408,D,2,1435.0,,
ON9VLW,ON9VLW,True,False,wsprnet_only,wsjtx,JO20ku,6.0,50.8542,4.875,N,50.8542,46.327,46.327,D,1,27.0,,
ONL12087,ONL12087,True,False,wsprnet_only,kiwisdr,JO11lf,6.0,51.2292,2.9583,N,51.2292,46.795,46.795,A,395,1287696.0,,
OO0O,OO0O,True,False,wsprnet_only,wsjtx,JO11sb,6.0,51.0625,3.5417,N,51.0625,46.586,46.586,C,11,4618.0,,
OO6A,OO6A,True,False,wsprnet_only,wsjtx,JO11ud,6.0,51.1458,3.7083,N,51.1458,46.687,46.687,D,1,10.0,,
OP0A,OP0A,True,False,wsprnet_only,wsjtx,JO21di,6.0,51.3542,4.2917,N,51.3542,46.939,46.939,D,6,907.0,,
OP0P,OP0P,True,False,wsprnet_only,other,JO20sm,6.0,50.5208,5.5417,N,50.5208,45.919,45.919,D,3,27619.0,,
OP0P-4,OP0P,True,False,wsprnet_only,other,JO20sm,6.0,50.5208,5.5417,N,50.5208,45.919,45.919,C,18,122864.0,,
OP4W,OP4W,True,False,wsprnet_only,other,JO10wv,6.0,50.8958,3.875,N,50.8958,46.38,46.38,D,2,38.0,,
